Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Hourly Salary,min_salary,max_salary,Average Salary,Job state,Company_age
Lead Data Scientist,USD 95K - USD 138K ,4.0,Purpose Financial,"Greenville, SC",Unknown,--,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,0,95,138,116.5,SC,
Director - Data Strategy & Analytics,USD 129K - USD 178K ,3.0,BISSELL Homecare,"Grand Rapids, MI",1001 to 5000 Employees,1876,Company - Private,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,0,129,178,153.5,MI,148.0
DATA SCIENTIST,USD 110K - USD 148K,3.3,Los Angeles County Department of Human Resources,United States,10000+ Employees,--,Government,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD),0,110,148,129.0,ES,
Strategy and Operations Associate,USD 77K - USD 120K ,3.5,Forward,"San Francisco, CA",Unknown,2016,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,0,77,120,98.5,CA,8.0
Data Scientist- Jr,USD 86K - USD 138K,3.6,Peraton,"Herndon, VA",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,86,138,112.0,VA,7.0
"Data Scientist, Specialist",USD 89K - USD 119K ,3.7,Vanguard,"Charlotte, NC",10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,0,89,119,104.0,NC,49.0
DATA SCIENTIST,USD 88K - USD 102K,4.1,US Department of the Air Force - Agency Wide,"Los Angeles, CA",10000+ Employees,1947,Government,National Agencies,Government & Public Administration,$10+ billion (USD),0,88,102,95.0,CA,77.0
Associate Data Scientist,USD 80K - USD 120K,4.0,Berkley,"West Hartford, CT",1 to 50 Employees,2012,Company - Private,Commercial Printing,Manufacturing,$25 to $100 million (USD),0,80,120,100.0,CT,12.0
"Senior Consultant, People Analytics",USD 90K - USD 127K ,3.9,Penn Medicine,"Philadelphia, PA",10000+ Employees,1993,Hospital,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD),0,90,127,108.5,PA,31.0
Visualization/Data Scientist,USD 94K - USD 128K ,1.0,Vita Data Sciences,"Waltham, MA",Unknown,--,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,94,128,111.0,MA,
Data Scientist,USD 82K - USD 121K ,3.9,WebstaurantStore,"Lititz, PA",1001 to 5000 Employees,2004,Company - Private,Other Retail Stores,Retail & Wholesale,$500 million to $1 billion (USD),0,82,121,101.5,PA,20.0
